date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:54	14788/14788	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Sep%202016%2020:13:56%20GMT	https://rsave.in/image/FV1.jpg	C:/Yazar/rsave/rsave.in/image/FV1.jpg	(from https://rsave.in/)
16:40:54	4575/4575	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2019:05:38%20GMT	https://rsave.in/image/rbi.png	C:/Yazar/rsave/rsave.in/image/rbi.png	(from https://rsave.in/)
16:40:54	1709/1709	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Dec%202018%2012:09:14%20GMT	https://rsave.in/image/fd.png	C:/Yazar/rsave/rsave.in/image/fd.png	(from https://rsave.in/)
16:40:55	18027/18027	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:52%20GMT	https://rsave.in/pms.html	C:/Yazar/rsave/rsave.in/pms.html	(from https://rsave.in/)
16:40:55	1498/1498	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Dec%202018%2012:09:02%20GMT	https://rsave.in/image/pms.png	C:/Yazar/rsave/rsave.in/image/pms.png	(from https://rsave.in/)
16:40:55	1611/1611	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Dec%202018%2012:09:10%20GMT	https://rsave.in/image/loan.png	C:/Yazar/rsave/rsave.in/image/loan.png	(from https://rsave.in/)
16:40:56	2769/2769	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Dec%202018%2012:09:08%20GMT	https://rsave.in/image/tax.png	C:/Yazar/rsave/rsave.in/image/tax.png	(from https://rsave.in/)
16:40:56	16723/16723	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Mar%202020%2000:01:52%20GMT	https://rsave.in/ipo.html	C:/Yazar/rsave/rsave.in/ipo.html	(from https://rsave.in/)
16:40:56	1391/1391	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Dec%202018%2012:09:06%20GMT	https://rsave.in/image/guidance.png	C:/Yazar/rsave/rsave.in/image/guidance.png	(from https://rsave.in/)
16:40:56	1726/1726	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Dec%202018%2012:09:20%20GMT	https://rsave.in/image/pay.png	C:/Yazar/rsave/rsave.in/image/pay.png	(from https://rsave.in/)
16:40:57	1512/1512	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Dec%202018%2012:08:58%20GMT	https://rsave.in/image/fp.png	C:/Yazar/rsave/rsave.in/image/fp.png	(from https://rsave.in/)
16:40:57	1752/1752	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Dec%202018%2012:08:56%20GMT	https://rsave.in/image/nri.png	C:/Yazar/rsave/rsave.in/image/nri.png	(from https://rsave.in/)
16:40:57	713/713	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Dec%202018%2012:08:54%20GMT	https://rsave.in/image/amc.png	C:/Yazar/rsave/rsave.in/image/amc.png	(from https://rsave.in/)
16:40:58	1508/1508	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Dec%202018%2012:08:50%20GMT	https://rsave.in/image/calculator.png	C:/Yazar/rsave/rsave.in/image/calculator.png	(from https://rsave.in/)
16:40:58	1813/1813	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Dec%202018%2012:08:50%20GMT	https://rsave.in/image/mf.png	C:/Yazar/rsave/rsave.in/image/mf.png	(from https://rsave.in/)
16:40:58	37045/37045	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2025%20Jul%202016%2020:53:30%20GMT	https://rsave.in/js/bootstrap.min.js	C:/Yazar/rsave/rsave.in/js/bootstrap.min.js	(from https://rsave.in/)
16:40:59	5131/5131	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Feb%202013%2020:39:46%20GMT	https://rsave.in/css/html5-reset.css	C:/Yazar/rsave/rsave.in/css/html5-reset.css	(from https://rsave.in/style.css)
16:40:59	227259/227259	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2027%20Mar%202020%2023:27:48%20GMT	https://rsave.in/js/jquery-ui-1.10.0.custom.min.js	C:/Yazar/rsave/rsave.in/js/jquery-ui-1.10.0.custom.min.js	(from https://rsave.in/)
16:41:00	5704/5704	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Dec%202018%2018:43:54%20GMT	https://rsave.in/css/flexslider.css	C:/Yazar/rsave/rsave.in/css/flexslider.css	(from https://rsave.in/style.css)
16:41:00	2128/2128	---M-Z	200	added ('OK')	text/css	date:Sun,%2027%20Jan%202013%2007:00:58%20GMT	https://rsave.in/css/tipsy.css	C:/Yazar/rsave/rsave.in/css/tipsy.css	(from https://rsave.in/style.css)
16:41:01	4915/4915	---M-Z	200	added ('OK')	text/css	date:Sun,%2027%20Jan%202013%2007:01:00%20GMT	https://rsave.in/css/jquery.fancybox.css	C:/Yazar/rsave/rsave.in/css/jquery.fancybox.css	(from https://rsave.in/style.css)
16:41:01	12673/12673	---M-Z	200	added ('OK')	text/css	date:Mon,%2004%20Feb%202013%2008:18:44%20GMT	https://rsave.in/css/shortcodes.css	C:/Yazar/rsave/rsave.in/css/shortcodes.css	(from https://rsave.in/style.css)
16:41:02	14076/14076	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202013%2020:24:48%20GMT	https://rsave.in/images/page-title-bg/grey.png	C:/Yazar/rsave/rsave.in/images/page-title-bg/grey.png	(from https://rsave.in/style.css)
16:41:02	1436/1436	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202013%2020:24:44%20GMT	https://rsave.in/images/icon-boxes/applications.png	C:/Yazar/rsave/rsave.in/images/icon-boxes/applications.png	(from https://rsave.in/style.css)
16:41:02	255602/255602	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Dec%202018%2022:22:58%20GMT	https://rsave.in/images/background-patterns/boxed/wild_oliva.png	C:/Yazar/rsave/rsave.in/images/background-patterns/boxed/wild_oliva.png	(from https://rsave.in/style.css)
16:41:02	1359/1359	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202013%2020:24:44%20GMT	https://rsave.in/images/icon-boxes/cog.png	C:/Yazar/rsave/rsave.in/images/icon-boxes/cog.png	(from https://rsave.in/style.css)
16:41:03	1082/1082	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202013%2020:24:46%20GMT	https://rsave.in/images/icon-boxes/iphone.png	C:/Yazar/rsave/rsave.in/images/icon-boxes/iphone.png	(from https://rsave.in/style.css)
16:41:03	1187/1187	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202013%2020:24:44%20GMT	https://rsave.in/images/icon-boxes/chemical.png	C:/Yazar/rsave/rsave.in/images/icon-boxes/chemical.png	(from https://rsave.in/style.css)
16:41:03	1160/1160	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202013%2020:24:46%20GMT	https://rsave.in/images/icon-boxes/computer.png	C:/Yazar/rsave/rsave.in/images/icon-boxes/computer.png	(from https://rsave.in/style.css)
